x0,x1,x2,x3,x4,y
3.273553650523894,8.309649090040871,0.49877213895102357,0.7752544362014702,2.453092473439411,0
0.7400777167899586,3.7566879941601194,8.555848851172303,4.2424742340654,2.4929918116154273,1
9.580828220763756,0.9936245587437764,8.684247353681432,2.4885400922085212,2.4478576347860184,1
4.126212411862457,4.545420715137169,7.595926388890995,8.531869489493268,9.941801148383561,1
7.275091750437634,9.053237586549173,5.114754978056556,5.844303053994411,0.2310199314971606,1
6.509387705874923,3.2757112459641133,3.9160000916275695,4.568897640503872,9.01399894572908,1
9.335640371289088,0.012008873100405326,8.486887475026762,3.593607977376715,2.9033904538594957,1
4.509268533029665,4.860644057569724,1.253936145989586,0.7365777068484658,4.4596111284807005,0
9.386392110815473,4.5397338111490635,7.460082993345546,1.589857583225578,3.716954174233221,1
4.469640537476019,5.845058940003063,6.057254344776095,2.2121755703977266,4.845807005581696,0
0.3702318670782434,8.623129118672907,8.888512541347275,8.445954470105658,9.104801698223294,1
0.2650432537563474,9.588358646998024,7.334950015349095,5.12594586187194,3.2936550452520685,1
2.23198430558716,6.270285480324316,4.073266907915496,4.093501850257233,5.300521712433104,1
6.365311489942974,7.923062777037858,6.77219286605834,6.761034274670835,0.7558461169728281,1
7.977646041063888,7.132757572289872,1.0896302991513662,3.838312438240068,3.221788986080388,1
7.8435090381016,7.861316278092635,4.30152833168418,1.4478262619286342,2.6351951928719917,1
4.703655103573915,2.4094365330625145,0.7222593622626594,9.301419608805228,9.553271557603622,1
3.0775833856364443,4.53348070286321,5.993926831526402,0.2325757146201024,6.118642000991139,0
7.661352135400178,9.098731386674402,6.427934421578362,5.644679158534797,1.4370085695119028,1
6.275101337456706,1.786498317765981,5.881176865226147,2.4370075839188665,7.508035679709527,0
7.915649986872601,0.09698574499304558,5.033665687772867,1.0749410667676274,1.8233449634797472,1
9.595869231012959,4.778446784267527,5.141495681607245,3.9631273832641645,1.4901078929068468,1
9.044199963183926,8.788387069714197,7.9598052909114365,7.714405486301244,3.122589773872889,0
8.283424636791132,4.566716159233561,6.751780277858654,4.114270622093895,4.61419868242521,1
7.274973023362628,5.207646792856412,2.6554136004381155,2.151387054797358,8.139793357358101,1
3.5878614057265668,7.673380078692076,3.8739092280469887,6.775413023110964,9.868466809611613,1
9.567256458673153,1.7929699739164418,5.9034500226278475,4.946450920077623,1.1469288830215796,1
3.3179254734671715,7.980502702963711,2.2098205520941336,8.15763412122174,3.851833533493445,0
9.411748158193591,6.297097975363623,4.9574622252789515,0.3762992410256627,0.7036572298987998,1
1.6370706223140241,0.2245230356022876,4.128423975637315,9.5029066380643,5.2331267264608625,0
